D_e : 0.149935, D_real_e : 0.145793, D_fake_e : 0.004143, G_e : 1.880611
D_e : 0.263738, D_real_e : 0.142139, D_fake_e : 0.121599, G_e : 1.282955
D_e : 0.096142, D_real_e : 0.008696, D_fake_e : 0.087446, G_e : 1.641672
D_e : 0.160094, D_real_e : 0.101865, D_fake_e : 0.058230, G_e : 1.294895
D_e : 0.060004, D_real_e : 0.014843, D_fake_e : 0.045160, G_e : 1.757941
D_e : 0.163033, D_real_e : 0.002550, D_fake_e : 0.160483, G_e : 1.029800
D_e : 0.271877, D_real_e : 0.197577, D_fake_e : 0.074301, G_e : 1.475497
D_e : 0.365140, D_real_e : 0.260031, D_fake_e : 0.105109, G_e : 1.159114
D_e : 0.383884, D_real_e : 0.153849, D_fake_e : 0.230034, G_e : 1.701873
D_e : 0.230409, D_real_e : 0.120131, D_fake_e : 0.110278, G_e : 1.347386
D_e : 0.036689, D_real_e : 0.023360, D_fake_e : 0.013329, G_e : 1.771780
D_e : 0.603199, D_real_e : 0.096455, D_fake_e : 0.506744, G_e : 1.208518
D_e : 0.131159, D_real_e : 0.080234, D_fake_e : 0.050924, G_e : 1.453352
